type	latitude	longitude	altitude (m)	name	desc
T	19.245567940	73.211223492	83.9		
T	19.257789073	73.288645558	73.8		
T	19.269179467	73.332664815	71.8		
T	19.291124816	73.387452140	72.5		
T	19.302480973	73.431451184	119.1		
T	19.303759102	73.486969958	75.5		
T	19.325609270	73.541906118	82.0		
T	19.326832667	73.597468805	158.3		
T	19.348863834	73.663491958	115.5		
T	19.370619737	73.718405676	222.1		
T	19.415474235	73.894106709	990.0		
T	19.416633832	73.949115690	771.7		
T	19.450392531	74.091263573	673.6		
T	19.483388859	74.200324569	624.4		
T	19.494952953	74.265857034	617.4		
T	19.506698512	74.342340895	542.0		
T	19.528874587	74.429526453	523.4		
T	19.530066445	74.495294810	524.5		
T	19.540923098	74.527914750	515.6		
T	19.562820174	74.604052403	508.4		
T	19.595873281	74.734653397	505.7		
T	19.596600962	74.778417762	509.1		
T	19.638904504	74.854058389	473.5		
T	19.649868448	74.897569084	472.0		
T	19.671266150	74.951758640	477.6		
T	19.713675077	75.038290271	493.3		
T	19.735024677	75.092488853	479.0		
T	19.746091226	75.146905394	485.9		
T	19.767081926	75.179272400	499.6		
T	19.788352876	75.233522701	503.3		
T	19.820063044	75.298426560	597.7		
T	19.841339926	75.352620675	592.9		
T	19.862597735	75.406822686	576.2		
T	19.883964903	75.471963626	588.9		
T	19.894773148	75.515455180	637.2		
T	19.905702535	75.569864254	581.0		
T	19.916518283	75.613322393	578.9		
T	19.927483918	75.667669733	552.8		
T	19.938019692	75.689308302	554.2		
T	19.949225622	75.765476509	564.0		
T	19.970655297	75.841490232	583.0		
T	19.971162728	75.885109769	561.3		
T	19.992553895	75.961131670	611.8		
T	20.003561894	76.026396763	561.1		
T	20.014426488	76.080767263	553.7		
T	20.014664497	76.102572325	548.5		
T	20.025847890	76.189659296	519.5		
T	20.026072442	76.211464818	570.2		
T	20.047359388	76.287534028	511.2		
T	20.058503978	76.374637887	550.9		
T	20.059226960	76.450964870	547.0		
T	20.079974922	76.472552125	546.1		
T	20.090739180	76.526975198	532.5		
T	20.101393457	76.570499911	532.5		
T	20.122877026	76.679393058	535.0		
T	20.154085033	76.722771377	551.2		
T	20.185732786	76.820761956	540.3		
T	20.206728313	76.875206282	530.6		
T	20.228039311	76.973368632	533.7		
T	20.248935545	77.016947145	517.4		
T	20.280353270	77.093286402	497.8		
T	20.290795253	77.115100016	511.0		
